hndd,cndd,rank,mean_abundance
0.5,3,125,9.102
0.5,3,126,8.487
0.5,3,127,7.945
0.5,3,128,7.433
0.5,3,129,6.909
0.5,3,130,6.436
0.5,3,131,5.974
0.5,3,132,5.503
0.5,3,133,5.093
0.5,3,134,4.6966966966967
0.5,3,135,4.35311871227364
0.5,3,136,3.99899193548387
0.5,3,137,3.71457489878543
0.5,3,138,3.42201834862385
0.5,3,139,3.11156601842375
0.5,3,140,2.8636836628512
0.5,3,141,2.64444444444444
0.5,3,142,2.4247598719317
0.5,3,143,2.25382932166302
0.5,3,144,2.0967007963595
0.5,3,145,1.93896713615023
0.5,3,146,1.814039408867
0.5,3,147,1.69151670951157
0.5,3,148,1.5814266487214
0.5,3,149,1.50437317784257
0.5,3,150,1.46019108280255
0.5,3,151,1.38593481989708
0.5,3,152,1.33657587548638
0.5,3,153,1.31485587583149
0.5,3,154,1.27763496143959
0.5,3,155,1.22935779816514
0.5,3,156,1.19285714285714
0.5,3,157,1.18025751072961
0.5,3,158,1.15979381443299
0.5,3,159,1.125
0.5,3,160,1.09923664122137
0.5,3,161,1.10752688172043
0.5,3,162,1.08108108108108
0.5,3,163,1.05
0.5,3,164,1.07317073170732
0.5,3,165,1
0.5,3,166,1
0.5,3,167,1
0.5,3,168,1
0.5,3,169,1
0.5,3,170,1
0.5,3,171,1
0.5,3,172,1
0.5,3,173,1
0.5,6,1,405.538
0.5,6,2,363.003
0.5,6,3,339.285
0.5,6,4,322.073
0.5,6,5,308.07
0.5,6,6,297.418
0.5,6,7,287.911
0.5,6,8,279.641
0.5,6,9,271.548
0.5,6,10,264.649
0.5,6,11,257.982
0.5,6,12,251.823
0.5,6,13,246.398
0.5,6,14,240.965
0.5,6,15,235.577
0.5,6,16,230.811
0.5,6,17,226.251
0.5,6,18,221.818
0.5,6,19,217.472
0.5,6,20,213.554
0.5,6,21,209.643
0.5,6,22,206.038
0.5,6,23,202.453
0.5,6,24,198.866
0.5,6,25,195.172
0.5,6,26,191.744
0.5,6,27,188.523
0.5,6,28,185.468
0.5,6,29,182.412
0.5,6,30,179.376
0.5,6,31,176.409
0.5,6,32,173.545
0.5,6,33,170.535
0.5,6,34,167.915
0.5,6,35,165.232
0.5,6,36,162.523
0.5,6,37,159.771
0.5,6,38,157.139
0.5,6,39,154.604
0.5,6,40,151.99
0.5,6,41,149.466
0.5,6,42,147.075
0.5,6,43,144.715
0.5,6,44,142.447
0.5,6,45,140.124
0.5,6,46,138.013
0.5,6,47,135.788
0.5,6,48,133.511
0.5,6,49,131.348
0.5,6,50,129.184
0.5,6,51,127.011
0.5,6,52,124.918
0.5,6,53,122.75
0.5,6,54,120.776
0.5,6,55,118.665
0.5,6,56,116.53
0.5,6,57,114.571
0.5,6,58,112.481
0.5,6,59,110.482
0.5,6,60,108.485
0.5,6,61,106.56
0.5,6,62,104.6
0.5,6,63,102.657
0.5,6,64,100.787
0.5,6,65,98.949
0.5,6,66,97.208
0.5,6,67,95.485
0.5,6,68,93.666
0.5,6,69,91.791
0.5,6,70,89.992
0.5,6,71,88.282
0.5,6,72,86.514
0.5,6,73,84.833
0.5,6,74,83.135
0.5,6,75,81.457
0.5,6,76,79.881
0.5,6,77,78.251
0.5,6,78,76.715
0.5,6,79,75.037
0.5,6,80,73.475
0.5,6,81,71.881
0.5,6,82,70.299
0.5,6,83,68.85
0.5,6,84,67.215
0.5,6,85,65.68
0.5,6,86,64.275
0.5,6,87,62.791
0.5,6,88,61.359
0.5,6,89,59.963
0.5,6,90,58.56
0.5,6,91,57.199
0.5,6,92,55.793
0.5,6,93,54.364
0.5,6,94,52.982
0.5,6,95,51.638
0.5,6,96,50.285
0.5,6,97,48.946
0.5,6,98,47.609
0.5,6,99,46.305
0.5,6,100,44.958
0.5,6,101,43.657
0.5,6,102,42.394
0.5,6,103,41.174
0.5,6,104,39.923
0.5,6,105,38.744
0.5,6,106,37.588
0.5,6,107,36.418
0.5,6,108,35.291
0.5,6,109,34.196
0.5,6,110,33.067
0.5,6,111,31.958
0.5,6,112,30.926
0.5,6,113,29.833
0.5,6,114,28.816
0.5,6,115,27.812
0.5,6,116,26.776
0.5,6,117,25.808
0.5,6,118,24.845
0.5,6,119,23.868
0.5,6,120,22.905
0.5,6,121,21.987
0.5,6,122,21.114
0.5,6,123,20.281
0.5,6,124,19.442
0.5,6,125,18.577
0.5,6,126,17.71
0.5,6,127,16.864
0.5,6,128,16.055
0.5,6,129,15.292
0.5,6,130,14.545
0.5,6,131,13.801
0.5,6,132,13.082
0.5,6,133,12.346
0.5,6,134,11.677
0.5,6,135,11.011
0.5,6,136,10.368
0.5,6,137,9.776
0.5,6,138,9.206
0.5,6,139,8.636
0.5,6,140,8.102
0.5,6,141,7.562
0.5,6,142,7.07507507507508
0.5,6,143,6.60860860860861
0.5,6,144,6.14014014014014
0.5,6,145,5.69338677354709
0.5,6,146,5.26961770623742
0.5,6,147,4.88092835519677
0.5,6,148,4.53286147623863
0.5,6,149,4.15666327568667
0.5,6,150,3.81020408163265
0.5,6,151,3.50616016427105
0.5,6,152,3.22981366459627
0.5,6,153,2.98434237995825
0.5,6,154,2.75453575240128
0.5,6,155,2.55714285714286
0.5,6,156,2.37020316027088
0.5,6,157,2.20422535211268
0.5,6,158,2.05392156862745
0.5,6,159,1.90826873385013
0.5,6,160,1.80191256830601
0.5,6,161,1.70699708454811
0.5,6,162,1.63607594936709
0.5,6,163,1.53460207612457
0.5,6,164,1.46730769230769
0.5,6,165,1.41304347826087
0.5,6,166,1.35061728395062
0.5,6,167,1.28774928774929
0.5,6,168,1.24916943521595
0.5,6,169,1.21153846153846
0.5,6,170,1.19431279620853
0.5,6,171,1.19512195121951
0.5,6,172,1.12408759124088
0.5,6,173,1.1
0.5,6,174,1.06741573033708
0.5,6,175,1.0625
0.5,6,176,1.04081632653061
0.5,6,177,1.0625
0.5,6,178,1.08333333333333
0.5,6,179,1
0.5,6,180,1
0.5,6,181,1
0.5,6,182,1
0.5,6,183,1
0.5,6,184,1
0.5,9,1,379.048
0.5,9,2,341.411
0.5,9,3,319.896
0.5,9,4,304.181
0.5,9,5,292.086
0.5,9,6,282.28
0.5,9,7,273.729
0.5,9,8,265.954
0.5,9,9,258.931
0.5,9,10,252.393
0.5,9,11,246.461
0.5,9,12,240.972
0.5,9,13,235.721
0.5,9,14,231.08
0.5,9,15,226.607
0.5,9,16,222.141
0.5,9,17,217.904
0.5,9,18,213.886
0.5,9,19,210.071
0.5,9,20,206.435
0.5,9,21,202.626
0.5,9,22,199.086
0.5,9,23,195.684
0.5,9,24,192.475
0.5,9,25,189.248
0.5,9,26,186.2
0.5,9,27,183.155
0.5,9,28,180.102
0.5,9,29,177.252
0.5,9,30,174.526
0.5,9,31,171.842
0.5,9,32,169.154
0.5,9,33,166.488
0.5,9,34,163.815
0.5,9,35,161.322
0.5,9,36,158.787
0.5,9,37,156.308
0.5,9,38,153.885
0.5,9,39,151.581
0.5,9,40,149.255
0.5,9,41,146.98
0.5,9,42,144.799
